"","ENV","STATE","CITY","PED","FAR","FC","HYB","YEAR","REP","FS","CC","WRT","Density","CI","CD","PER","YIELD","SPC1","SPC2","SPC3","SPC4","SPC5","SPC6","WPC1","WPC2","WPC3"
"1","Ambriole2018","INDIANA","Tri-Lakes","17.461","Ambriole","AA","ORG1",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",135,-1.44714139694737,1.47813819750275,-1.97192277144388,0.480204137948325,0.458792580637784,0.520004907030919,2.45919084677098,3.16369209837164,0.014349019821775
"2","Ambriole2018","INDIANA","Tri-Lakes","17.2B24","Ambriole","AA","ORG4",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",142.7,-1.44727849085741,1.47707272364148,-1.96942177939484,0.480096796528458,0.455971621514837,0.517233284504284,2.45919084677096,3.16369209837163,0.0143490198217922
"3","Ambriole2018","INDIANA","Tri-Lakes","461.2B24","Ambriole","AA","ORG2",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",96.5,-1.16992529499794,0.990931527755981,-1.98298953778549,0.781767519660796,0.164757872614754,0.401377106048874,2.45919084677096,3.16369209837165,0.0143490198217898
"4","Ambriole2018","INDIANA","Tri-Lakes","59R5","Ambriole","AA","CHECK1",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",141.2,-1.17006238890798,0.989866053894705,-1.98048854573645,0.781660178240932,0.161936913491805,0.398605483522241,2.45919084677095,3.16369209837166,0.0143490198217937
"5","Ambriole2018","INDIANA","Tri-Lakes","F34.A22","Ambriole","AA","KEV1",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",167.2,-1.40420646154269,1.32709751741933,-1.97372161837482,0.607610912085603,0.152475438167286,0.535467875833662,2.45919084677095,3.16369209837164,0.0143490198217963
"6","Ambriole2018","INDIANA","Tri-Lakes","H69.A22","Ambriole","AA","KEV2",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",123.7,-1.40434355545273,1.32603204355807,-1.97122062632578,0.607503570665738,0.149654479044332,0.532696253307025,2.45919084677096,3.16369209837164,0.0143490198217838
"7","Ambriole2018","INDIANA","Tri-Lakes","NG10.S7","Ambriole","AA","ORG5",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",127.9,-1.42086124796829,1.29174990036002,-2.06827790685307,0.555454362799264,0.159377963515505,0.440777072166621,2.45919084677095,3.16369209837164,0.0143490198217945
"8","Ambriole2018","INDIANA","Tri-Lakes","P31.A22","Ambriole","AA","KEV3",2018,1,"Mix","Mixed","Moderate","Low","High","High","Absent",130.8,-1.42099834187833,1.29068442649876,-2.06577691480403,0.555347021379396,0.156557004392555,0.438005449639982,2.45919084677095,3.16369209837164,0.0143490198217881
"9","Ambriole2018","INDIANA","Tri-Lakes","17.461","Ambriole","AA","ORG1",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",136.5,-1.4550136848551,1.37666358996677,-1.9544838003004,0.554114881256254,0.40834372268981,0.499755925223292,2.45919084677095,3.16369209837164,0.014349019821791
"10","Ambriole2018","INDIANA","Tri-Lakes","17.2B24","Ambriole","AA","ORG4",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",142.5,-1.45515077876514,1.37559811610551,-1.95198280825136,0.554007539836386,0.405522763566859,0.496984302696656,2.45919084677094,3.16369209837165,0.0143490198217818
"11","Ambriole2018","INDIANA","Tri-Lakes","461.2B24","Ambriole","AA","ORG2",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",98.3,-1.26097104799335,1.28513631169625,-1.91762105186099,0.624994898423897,-0.0373681931667258,0.401160458216028,2.45919084677095,3.16369209837164,0.0143490198217925
"12","Ambriole2018","INDIANA","Tri-Lakes","59R5","Ambriole","AA","CHECK1",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",142.6,-1.26110814190339,1.28407083783499,-1.91512005981196,0.624887557004034,-0.0401891522896761,0.39838883568939,2.45919084677095,3.16369209837164,0.0143490198217899
"13","Ambriole2018","INDIANA","Tri-Lakes","F34.A22","Ambriole","AA","KEV1",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",167,-1.24717685569141,1.17528851457946,-1.95526790391651,0.57925554532386,0.0592662197578822,0.300853134021365,2.45919084677095,3.16369209837164,0.0143490198217927
"14","Ambriole2018","INDIANA","Tri-Lakes","H69.A22","Ambriole","AA","KEV2",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",121.6,-1.24731394960146,1.1742230407182,-1.95276691186747,0.579148203903994,0.0564452606349324,0.298081511494728,2.45919084677095,3.16369209837164,0.0143490198217924
"15","Ambriole2018","INDIANA","Tri-Lakes","NG10.S7","Ambriole","AA","ORG5",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",127.1,-1.35951106013262,1.3237898107713,-1.97492013411883,0.470727516086067,0.145254865799259,0.358531732611263,2.45919084677095,3.16369209837164,0.0143490198217914
"16","Ambriole2018","INDIANA","Tri-Lakes","P31.A22","Ambriole","AA","KEV3",2018,2,"Mix","Mixed","Moderate","Low","High","High","Absent",130.3,-1.35964815404267,1.32272433691004,-1.97241914206979,0.470620174666198,0.142433906676306,0.355760110084629,2.45919084677095,3.16369209837164,0.014349019821792
"17","Buxton2018","ILLINOIS","Sullivan","17.461","Buxton","SB","ORG1",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",142.1,0.0531931769623059,2.64868832658009,0.859958489068869,-1.4056797731749,-0.659255512980454,2.64509123339969,6.86670205433334,0.495356146823622,-0.204996438897874
"18","Buxton2018","ILLINOIS","Sullivan","17.2B24","Buxton","SB","ORG4",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",186,0.0530560830522624,2.64762285271883,0.862459481117906,-1.40578711459477,-0.662076472103405,2.64231961087305,6.86670205433334,0.495356146823622,-0.204996438897874
"19","Buxton2018","ILLINOIS","Sullivan","461.2B24","Buxton","SB","ORG2",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",185.8,0.0457415066484028,2.21141839883291,0.708275918159766,-1.33285296628953,-0.570060295922259,2.50583866981322,6.86670205433334,0.495356146823622,-0.204996438897874
"20","Buxton2018","ILLINOIS","Sullivan","59R5","Buxton","SB","CHECK1",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",184.7,0.0456044127383604,2.21035292497165,0.710776910208804,-1.33296030770939,-0.57288125504521,2.50306704728659,6.86670205433334,0.495356146823622,-0.204996438897874
"21","Buxton2018","ILLINOIS","Sullivan","F34.A22","Buxton","SB","KEV1",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",185.8,0.183970551259117,2.83701683507634,1.09609457272506,-1.45823541859009,-0.347687862612158,2.59123352100123,6.86670205433334,0.495356146823622,-0.204996438897874
"22","Buxton2018","ILLINOIS","Sullivan","H69.A22","Buxton","SB","KEV2",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",143.8,0.183833457349074,2.83595136121508,1.0985955647741,-1.45834276000996,-0.350508821735109,2.5884618984746,6.86670205433334,0.495356146823621,-0.204996438897874
"23","Buxton2018","ILLINOIS","Sullivan","NG10.S7","Buxton","SB","ORG5",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",179.7,-0.00163536854203053,2.35263646657064,0.798262341700633,-1.20907748077122,-0.495598491955811,2.72425584420052,6.86670205433334,0.495356146823622,-0.204996438897874
"24","Buxton2018","ILLINOIS","Sullivan","P31.A22","Buxton","SB","KEV3",2018,1,"Mix","Mixed","Low","Low","High","High","Absent",168.9,-0.00177246245207337,2.35157099270938,0.800763333749672,-1.20918482219109,-0.498419451078763,2.72148422167389,6.86670205433334,0.495356146823622,-0.204996438897874
"25","Buxton2018","ILLINOIS","Sullivan","17.461","Buxton","SB","ORG1",2018,2,"Mix","Mixed","Low","Low","High","High","Absent",93.8,-0.0395392865687525,2.16945710016518,0.690074729899526,-1.2406953310926,-0.518442118713324,2.63249355001342,6.86670205433334,0.495356146823622,-0.204996438897874
"26","Buxton2018","ILLINOIS","Sullivan","17.2B24","Buxton","SB","ORG4",2018,2,"Mix","Mixed","Low","Medium","High","High","Absent",175.8,-0.0396763804787959,2.16839162630392,0.692575721948564,-1.24080267251247,-0.521263077836274,2.62972192748678,6.86670205433334,0.495356146823622,-0.204996438897874
"27","Buxton2018","ILLINOIS","Sullivan","461.2B24","Buxton","SB","ORG2",2018,2,"Mix","Mixed","Low","Low","High","High","Absent",125.2,0.205289310918883,2.77116175454237,0.923872474764393,-1.44060110939264,-0.879892808954787,2.45288237149992,6.86670205433334,0.495356146823622,-0.204996438897874
"28","Buxton2018","ILLINOIS","Sullivan","59R5","Buxton","SB","CHECK1",2018,2,"Mix","Mixed","Low","Low","High","High","Absent",219.9,0.20515221700884,2.77009628068111,0.926373466813431,-1.4407084508125,-0.882713768077738,2.45011074897329,6.86670205433334,0.495356146823622,-0.204996438897874
"29","Buxton2018","ILLINOIS","Sullivan","F34.A22","Buxton","SB","KEV1",2018,2,"Mix","Mixed","Low","Low","High","High","Absent",178.2,-0.070576269318382,2.25244518660984,0.68117422392831,-1.17195844812737,-0.630104551974982,2.74351289298771,6.86670205433334,0.495356146823622,-0.204996438897874
"30","Buxton2018","ILLINOIS","Sullivan","H69.A22","Buxton","SB","KEV2",2018,2,"Mix","Mixed","Low","Low","High","High","Absent",160.9,-0.0707133632284252,2.25137971274858,0.683675215977348,-1.17206578954724,-0.632925511097933,2.74074127046107,6.86670205433334,0.495356146823622,-0.204996438897874
"31","Buxton2018","ILLINOIS","Sullivan","NG10.S7","Buxton","SB","ORG5",2018,2,"Mix","Mixed","Low","Low","High","High","Absent",137.1,0.250504535811314,2.87630472717736,1.10370737885671,-1.45218002424721,-0.81390042047287,2.43593693878006,6.86670205433334,0.495356146823622,-0.204996438897874
"32","Buxton2018","ILLINOIS","Sullivan","P31.A22","Buxton","SB","KEV3",2018,2,"Mix","Mixed","Low","Medium","High","High","Absent",206.5,0.250367441901271,2.8752392533161,1.10620837090575,-1.45228736566708,-0.816721379595821,2.43316531625343,6.86670205433334,0.495356146823622,-0.204996438897874
"33","Erisman2018","ILLINOIS","Pana","17.461","Erisman","JE","ORG1",2018,1,"Mix","Mixed","High","Low","Low","High","Present",82.7,-0.729773458701316,-0.893529689601131,-1.01353744141816,-1.01304586324324,-0.168897049372375,2.67168964244614,7.19007330945771,0.511225730162061,0.0869203448381169
"34","Erisman2018","ILLINOIS","Pana","17.2B24","Erisman","JE","ORG4",2018,1,"Mix","Mixed","High","Low","Low","High","Present",100.7,-0.729910552611359,-0.894595163462391,-1.01103644936912,-1.01315320466311,-0.171718008495326,2.6689180199195,7.19007330945771,0.511225730162061,0.0869203448381169
"35","Erisman2018","ILLINOIS","Pana","461.2B24","Erisman","JE","ORG2",2018,1,"Mix","Mixed","High","Low","Low","High","Present",123.1,-0.923097912752612,-1.12725648064943,-1.3327484695112,-0.888819901915596,-0.431645340999326,2.77801693799523,7.19007330945771,0.511225730162061,0.0869203448381169
"36","Erisman2018","ILLINOIS","Pana","59R5","Erisman","JE","CHECK1",2018,1,"Mix","Mixed","High","Low","Low","High","Present",196.2,-0.923235006662656,-1.12832195451069,-1.33024747746216,-0.888927243335464,-0.434466300122277,2.77524531546859,7.19007330945771,0.511225730162061,0.0869203448381169
"37","Erisman2018","ILLINOIS","Pana","F34.A22","Erisman","JE","KEV1",2018,1,"Mix","Mixed","High","Low","Low","High","Present",140.6,-0.768252426965348,-1.01544624634664,-1.16041217314954,-0.955245484074909,-0.266978849384766,2.67745975931352,7.19007330945771,0.511225730162061,0.0869203448381169
"38","Erisman2018","ILLINOIS","Pana","H69.A22","Erisman","JE","KEV2",2018,1,"Mix","Mixed","High","Low","Low","High","Present",111.2,-0.768389520875391,-1.0165117202079,-1.1579111811005,-0.955352825494775,-0.269799808507716,2.67468813678689,7.19007330945771,0.511225730162061,0.0869203448381169
"39","Erisman2018","ILLINOIS","Pana","NG10.S7","Erisman","JE","ORG5",2018,1,"Mix","Mixed","High","Low","Low","High","Present",102.5,-0.781864063598985,-0.91866406077728,-1.02941520425271,-0.988181210025259,-0.224790547110659,2.69026353364245,7.19007330945771,0.511225730162061,0.0869203448381169
"40","Erisman2018","ILLINOIS","Pana","P31.A22","Erisman","JE","KEV3",2018,1,"Mix","Mixed","High","Low","Low","High","Present",134,-0.782001157509028,-0.91972953463854,-1.02691421220367,-0.988288551445125,-0.22761150623361,2.68749191111581,7.19007330945771,0.511225730162061,0.0869203448381169
"41","Erisman2018","ILLINOIS","Pana","17.461","Erisman","JE","ORG1",2018,2,"Mix","Mixed","High","Low","Low","High","Present",126,-0.766812861736997,-1.02014558371143,-1.07115679037183,-0.92848008213158,-0.252027756881339,2.68715975974474,7.19007330945771,0.511225730162061,0.0869203448381169
"42","Erisman2018","ILLINOIS","Pana","17.2B24","Erisman","JE","ORG4",2018,2,"Mix","Mixed","High","Low","Low","High","Present",126.4,-0.76694995564704,-1.02121105757269,-1.06865579832279,-0.928587423551447,-0.25484871600429,2.6843881372181,7.19007330945771,0.511225730162061,0.0869203448381169
"43","Erisman2018","ILLINOIS","Pana","461.2B24","Erisman","JE","ORG2",2018,2,"Mix","Mixed","High","Low","Low","High","Present",102.6,-0.901205676176423,-1.14767530418088,-1.26902337472833,-0.929788685218079,-0.31139044695802,2.71061863883953,7.19007330945771,0.511225730162061,0.0869203448381169
"44","Erisman2018","ILLINOIS","Pana","59R5","Erisman","JE","CHECK1",2018,2,"Mix","Mixed","High","Low","Low","High","Present",155.8,-0.901342770086466,-1.14874077804214,-1.26652238267929,-0.929896026637945,-0.314211406080971,2.7078470163129,7.19007330945771,0.511225730162061,0.0869203448381169
"45","Erisman2018","ILLINOIS","Pana","F34.A22","Erisman","JE","KEV1",2018,2,"Mix","Mixed","High","Low","Low","High","Present",106.4,-0.964421404295692,-1.05353423370323,-1.24828889556224,-0.961013056005774,-0.3203176904035,2.76886386588263,7.19007330945771,0.511225730162061,0.0869203448381169
"46","Erisman2018","ILLINOIS","Pana","H69.A22","Erisman","JE","KEV2",2018,2,"Mix","Mixed","High","Low","Low","High","Present",110.1,-0.964558498205735,-1.05459970756449,-1.2457879035132,-0.96112039742564,-0.323138649526451,2.76609224335599,7.19007330945771,0.511225730162061,0.0869203448381169
