EXP,YEAR,FAR,ENV,FC,STATE,CITY,HYB,CODE,REP,Lat,Long,PDT,NSRC,FS,CC,WRT,POP,STC,Area,POPadj,Density,YOM,Rotation,Rot_Seq,Perennials,CI,Species,DI,CD,PHT,EHT,SDL,SDS,MST,TWT,GWT,KWT300,YIELD,PRO,OIL,STA,DEN,FIB,CEC,pH,OM,EstNRel,Su,P,Ca,Mg,K,Na,SOC,TN,SoilCN,InorgN,Bray1P,POMC,POMN,POMCN,PMN,POXC,Sand,Silt,Clay,Prcp,Tmax,Tmin,Temp,TGDD,prcp_May,prcp_Jun,prcp_Jul,prcp_Aug,prcp_Sep,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,temp_May,temp_Jun,temp_Jul,temp_Aug,temp_Sep,GDD_May,GDD_Jun,GDD_Jul,GDD_Aug,GDD_Sep,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,17.461,ORG1,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,230,116,19.51,17.63,9.4,50.4,7.050815684,69,134.9965978,9.1,4.5,69.4,1.161,9.21,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,17.2B24,ORG4,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,236,125,17.52,15.9,10,51.1,7.503203708,60.2,142.7067485,8.3,4.6,70.2,1.156,9.3,14.8,5.9,3.49,85,14,66,1729,242,217,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,461.2B24,ORG2,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,245,122,17.2,15.08,10.7,48.2,5.115379786,68.3,96.53495665,9.6,4.6,69.2,1.171,9.27,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,59R5,CHECK1,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,240,113,21.62,18.61,10.7,56.4,7.481818894,81.4,141.1932433,7,3.2,73.4,1.255,9.83,14.93,6.5,3.86,89,12,34,2065,280,125,23,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,F34.A22,KEV1,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,225,116,19.49,16.52,12.1,55.7,9.000140688,75.7,167.1835094,8.5,4.3,71.3,1.296,9.94,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,H69.A22,KEV2,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,235,142,17.4,16.87,11.9,59.4,6.643842832,88.4,123.6945379,8.3,4.4,71.3,1.281,9.87,11.9,6.3,3.11,81,13,40,1519,226,188,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,NG10.S7,ORG5,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,230,94,17.45,15.81,7.9,56.3,6.573515454,67.7,127.9418371,8.6,3.8,71.1,1.211,9.53,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,P31.A22,KEV3,1,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,199,92,15.87,15.18,12.9,56.8,7.10438795,84.1,130.7675804,8.9,4.4,71,1.292,9.95,13.84,6.1,3.56,86,13,58,1715,254,189,18,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,17.461,ORG1,2,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,234,116,17.15,14.8,8.4,54,7.050815684,69,136.4866265,8.8,4.5,69.7,1.154,9.21,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
OREI_ONFARM_TRIAL,2018,Ambriole,Ambriole2018,AA,INDIANA,Tri-Lakes,17.2B24,ORG4,2,40.9754707,-85.3479351,43247,Duck,Mix,Mixed,Moderate,28000,25,0.001,25000,Low,5,Extensive,Soybean/CCG-Sorghum+Sudangrass-Tritcale Forage/CCM14-Corn,Absent,High,20,5,High,224,100,19.81,17.38,10.1,50.5,7.503203708,60.2,142.5481854,8.2,4.5,70.4,1.152,9.33,14.18,5.9,3.37,84,15,62,1621,256,199,20,19.27,1.86,10.3621,18.6,49,2.847457627,0.189830508,13.6442,34.752,630.792,43,29,28,603.83,80.77701935,60.01496,70.39598968,3057.255,92.72,143.68,115.54,206.17,45.72,79.15941935,81.2672,82.95451613,82.38316129,78.1208,54.29619355,62.2964,62.44554839,62.97625806,58.0604,66.72780645,71.7818,72.70003226,72.67970968,68.0906,505.746,638.622,688.14,696.591,528.156,
